example_id,sentence,source_text,source_norm,source_type,relation,target_text,target_norm,target_type
327,"Alzheimer's disease ( AD ) is a multifactorial neurological disorder among elderly people and combinatorial factors such as genetic , lifestyle , and environmental are involved in onset and disease progression .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
328,It has been demonstrated that loss of cholinergic transmission is one of the most significant causes of AD .,loss of cholinergic transmission,loss of cholinergic transmission,other,risk_factor_of,AD,ad,disease
334,This review describes differently synthesized tacrine-based scaffolds as cholinesterase inhibitors to manage Alzheimer's disease ( AD ) .,tacrine-based,tacrine-based,drug,treatment_for,Alzheimer's disease,alzheimer's disease,disease
334,This review describes differently synthesized tacrine-based scaffolds as cholinesterase inhibitors to manage Alzheimer's disease ( AD ) .,cholinesterase inhibitors,cholinesterase inhibitors,drug,treatment_for,Alzheimer's disease,alzheimer's disease,disease
334,This review describes differently synthesized tacrine-based scaffolds as cholinesterase inhibitors to manage Alzheimer's disease ( AD ) .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
337,"Here , we report on an interactome map that focuses on neurodegenerative disease ( ND ) , connects ~ 5 , 000 human proteins via ~ 30 , 000 candidate interactions and is generated by systematic yeast two-hybrid interaction screening of ~ 500 ND-related proteins and integration of literature interactions .",ND,nd,disease,abbreviation_for,neurodegenerative disease,neurodegenerative disease,disease
338,"This network reveals interconnectivity across diseases and links many known ND-causing proteins , such as alpha-synuclein , TDP-43 , and ATXN1 , to a host of proteins previously unrelated to NDs .",alpha-synuclein,alpha-synuclein,gene,hyponym_of,ND-causing proteins,nd-causing proteins,gene
338,"This network reveals interconnectivity across diseases and links many known ND-causing proteins , such as alpha-synuclein , TDP-43 , and ATXN1 , to a host of proteins previously unrelated to NDs .",TDP-43,tdp-43,gene,hyponym_of,ND-causing proteins,nd-causing proteins,gene
338,"This network reveals interconnectivity across diseases and links many known ND-causing proteins , such as alpha-synuclein , TDP-43 , and ATXN1 , to a host of proteins previously unrelated to NDs .",ATXN1,atxn1,gene,hyponym_of,ND-causing proteins,nd-causing proteins,gene
342,The onset of neurodegenerative diseases activates inflammation that leads to progressive neuronal cell death and impairments in cognition ( Alzheimer's disease ) and sight ( age-related macular degeneration [ AMD ] ) .,neurodegenerative diseases,neurodegenerative diseases,disease,risk_factor_of,inflammation,inflammation,disease
342,The onset of neurodegenerative diseases activates inflammation that leads to progressive neuronal cell death and impairments in cognition ( Alzheimer's disease ) and sight ( age-related macular degeneration [ AMD ] ) .,neurodegenerative diseases,neurodegenerative diseases,disease,risk_factor_of,impairments in cognition,impairments in cognition,disease
342,The onset of neurodegenerative diseases activates inflammation that leads to progressive neuronal cell death and impairments in cognition ( Alzheimer's disease ) and sight ( age-related macular degeneration [ AMD ] ) .,AMD,amd,disease,abbreviation_for,age-related macular degeneration,age-related macular degeneration,disease
344,"In AMD , amyloid beta-peptide ( Abeta ) accumulates in subretinal drusen .",Abeta,abeta,gene,abbreviation_for,amyloid beta-peptide,amyloid beta-peptide,gene
345,"In the 5xFAD retina , we found early functional deficiencies ( ERG ) without photoreceptor cell ( PRC ) death and identified early insufficiency in biosynthetic pathways of prohomeostatic / neuroprotective mediators neuroprotectin D1 ( NPD1 ) and elovanoids ( ELVs ) .",ERG,erg,gene,abbreviation_for,functional deficiencies,functional deficiencies,disease
345,"In the 5xFAD retina , we found early functional deficiencies ( ERG ) without photoreceptor cell ( PRC ) death and identified early insufficiency in biosynthetic pathways of prohomeostatic / neuroprotective mediators neuroprotectin D1 ( NPD1 ) and elovanoids ( ELVs ) .",PRC,prc,other,abbreviation_for,photoreceptor cell,photoreceptor cell,other
345,"In the 5xFAD retina , we found early functional deficiencies ( ERG ) without photoreceptor cell ( PRC ) death and identified early insufficiency in biosynthetic pathways of prohomeostatic / neuroprotective mediators neuroprotectin D1 ( NPD1 ) and elovanoids ( ELVs ) .",NPD1,npd1,gene,abbreviation_for,neuroprotectin D1,neuroprotectin d1,gene
345,"In the 5xFAD retina , we found early functional deficiencies ( ERG ) without photoreceptor cell ( PRC ) death and identified early insufficiency in biosynthetic pathways of prohomeostatic / neuroprotective mediators neuroprotectin D1 ( NPD1 ) and elovanoids ( ELVs ) .",ELVs,elvs,drug,abbreviation_for,elovanoids,elovanoids,drug
346,"To mimic an inflammatory milieu in wild-type mouse , we triggered retinal pigment epithelium ( RPE ) damage / PRC death by subretinally injected oligomeric beta-amyloid ( OAbeta ) and observed that ELVs administration counteracted their effects , protecting these cells .",RPE,rpe,gene,abbreviation_for,retinal pigment epithelium,retinal pigment epithelium,other
346,"To mimic an inflammatory milieu in wild-type mouse , we triggered retinal pigment epithelium ( RPE ) damage / PRC death by subretinally injected oligomeric beta-amyloid ( OAbeta ) and observed that ELVs administration counteracted their effects , protecting these cells .",OAbeta,oabeta,gene,abbreviation_for,beta-amyloid,beta-amyloid,gene
353,"Alzheimer's disease ( AD ) and Parkinson's disease ( PD ) have overlapping pathological mechanisms and genetic background , suggesting it would be meaningful to replicate PD-related genetic variants in AD population to identify new loci of AD .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
353,"Alzheimer's disease ( AD ) and Parkinson's disease ( PD ) have overlapping pathological mechanisms and genetic background , suggesting it would be meaningful to replicate PD-related genetic variants in AD population to identify new loci of AD .",PD,pd,disease,abbreviation_for,Parkinson's disease,parkinson's disease,disease
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",LOAD,load,disease,abbreviation_for,late-onset AD,late-onset ad,disease
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",SNPs,snps,mutation,abbreviation_for,single-nucleotide polymorphisms,single-nucleotide polymorphisms,mutation
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",rs17649553,rs17649553,mutation,associated_with,MAPT,mapt,gene
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",rs356182,rs356182,mutation,associated_with,SNCA,snca,gene
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",rs76904798,rs76904798,mutation,associated_with,LRRK2,lrrk2,gene
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",LRRK2,lrrk2,gene,associated_with,rs823118,rs823118,mutation
354,"Here , in order to discover potential AD-related loci , we investigated the association between late-onset AD ( LOAD ) susceptibility and nine single-nucleotide polymorphisms ( SNPs ) ( rs11724635 of BST1 , rs12637471 of MCCC1 , rs15553999 of TMEM229 , rs17649553 of MAPT , rs34311866 of TMEM175-GAK-DGKQ , rs356182 of SNCA , rs6430538 of ACMSD-TMEM163 , rs76904798 of LRRK2 and rs823118 of RAB7L1-NUCKS1 ) which were reported to have genome-wide significant associations with PD risk in a recent Genome Wide Association Study performed among white population .",rs823118,rs823118,mutation,associated_with,RAB7L1-NUCKS1,rab7l1-nucks1,gene
356,"Finally , among these included genetic variants , only rs76904798 of LRRK2 was proved to significantly reduce LOAD risk in a multivariate analysis in a dominant model after adjusting for age , sex , and apolipoprotein E ( APOE ) epsilon4 status ( OR = 0 . 616 ; 95 % CI 0 . 446-0 . 849 ; Bonferroni corrected P = 0 . 027 ) .",APOE,apoe,gene,abbreviation_for,apolipoprotein E,apolipoprotein e,gene
358,Our results first time indicated rs76904798 of LRRK2 is also a common risk genetic variant for LOAD susceptibility in a northern Han Chinese people .,rs76904798,rs76904798,mutation,risk_factor_of,LOAD,load,disease
369,"BACKGROUND : People with Alzheimer's disease ( AD ) experience , in addition to the progressive loss of cognitive functions , a decline in functional performance such as mobility impairment and disability in activities of daily living ( ADL ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
370,Functional decline in dementia is mainly linked to the progressive brain pathology .,Functional decline,functional decline,disease,associated_with,brain pathology,brain pathology,disease
370,Functional decline in dementia is mainly linked to the progressive brain pathology .,dementia,dementia,disease,associated_with,brain pathology,brain pathology,disease
371,Peripheral biomechanical changes by advanced glycation end-products ( AGEs ) have been suggested but have yet to be thoroughly studied .,AGEs,ages,gene,abbreviation_for,advanced glycation end-products,advanced glycation end-products,gene
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",AGE-levels,age-levels,other,associated_with,mobility,mobility,other
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",AGE-levels,age-levels,other,associated_with,ADL,adl,disease
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",AGE-levels,age-levels,other,associated_with,Timed Up and Go,timed up and go,other
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",mobility,mobility,other,associated_with,ADL,adl,disease
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",Timed Up and Go,timed up and go,other,hyponym_of,mobility,mobility,other
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",Timed Up and Go,timed up and go,other,associated_with,ADL,adl,disease
373,"Linear mixed model analyses was used to study associations between AGE-levels ( AGE reader ) and mobility ( Timed Up and Go ) , and ADL ( Groningen Activity Restriction Scale and Barthel index ) , respectively .",Groningen Activity Restriction Scale,groningen activity restriction scale,method,help_diagnose,ADL,adl,disease
374,"RESULTS : A significant association between AGE levels and mobility ( beta = 3 . 57 , 95 % CI : 1 . 43-5 . 73 ) was revealed ; however , no significant association between AGE levels and ADL was found .",AGE,age,gene,associated_with,mobility,mobility,other
374,"RESULTS : A significant association between AGE levels and mobility ( beta = 3 . 57 , 95 % CI : 1 . 43-5 . 73 ) was revealed ; however , no significant association between AGE levels and ADL was found .",mobility,mobility,other,associated_with,AGE,age,gene
377,CONCLUSIONS : This study indicates that high AGE levels could be a contributing factor to impaired mobility but lacks evidence for an association with ADL decline in people with early stage AD or mixed dementia .,AGE,age,gene,risk_factor_of,impaired mobility,impaired mobility,disease
378,Future research is necessary on the reduction of functional decline in dementia regarding the effectiveness of interventions such as physical activity programs and dietary advice possibly in combination with pharmacologic strategies targeting AGE accumulation .,physical activity programs,physical activity programs,method,treatment_for,functional decline,functional decline,disease
380,Alzheimer's disease is a progressive neurodegenerative disease that has links with other conditions that can often be modified by dietary and life-style interventions .,Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neurodegenerative disease,neurodegenerative disease,disease
394,Short-term exposure to dim light at night disrupts rhythmic behaviors and causes neurodegeneration in fly models of tauopathy and Alzheimer's disease .,Short-term exposure to dim light at night,short-term exposure to dim light at night,other,risk_factor_of,neurodegeneration,neurodegeneration,disease
395,The accumulation and aggregation of phosphorylated tau proteins in the brain are the hallmarks for the onset of Alzheimer's disease ( AD ) .,AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
398,"Using the fly model for tauopathy / AD , we investigated the effects of an exposure to dim light at night on AD symptoms .",fly model,fly model,method,treatment_for,tauopathy,tauopathy,disease
403,Idiopathic normal pressure hydrocephalus ( iNPH ) is a disabling neurological disorder whose potential treatability is significantly limited by diagnostic uncertainty .,Idiopathic normal pressure hydrocephalus,idiopathic normal pressure hydrocephalus,disease,hyponym_of,neurological disorder,neurological disorder,disease
403,Idiopathic normal pressure hydrocephalus ( iNPH ) is a disabling neurological disorder whose potential treatability is significantly limited by diagnostic uncertainty .,iNPH,inph,disease,abbreviation_for,Idiopathic normal pressure hydrocephalus,idiopathic normal pressure hydrocephalus,disease
412,"Oligomers of the 42-mer amyloid-beta protein ( Abeta42 ) , rather than fibrils , cause synaptic dysfunction in the pathology of Alzheimer's disease ( AD ) .",42-mer amyloid-beta protein,42-mer amyloid-beta protein,gene,risk_factor_of,synaptic dysfunction,synaptic dysfunction,disease
412,"Oligomers of the 42-mer amyloid-beta protein ( Abeta42 ) , rather than fibrils , cause synaptic dysfunction in the pathology of Alzheimer's disease ( AD ) .",Abeta42,abeta42,gene,abbreviation_for,42-mer amyloid-beta protein,42-mer amyloid-beta protein,gene
412,"Oligomers of the 42-mer amyloid-beta protein ( Abeta42 ) , rather than fibrils , cause synaptic dysfunction in the pathology of Alzheimer's disease ( AD ) .",synaptic dysfunction,synaptic dysfunction,disease,characteristic_of,Alzheimer's disease,alzheimer's disease,disease
412,"Oligomers of the 42-mer amyloid-beta protein ( Abeta42 ) , rather than fibrils , cause synaptic dysfunction in the pathology of Alzheimer's disease ( AD ) .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
413,The nucleation phase in a nucleation-dependent aggregation model of Abeta42 is related to the formation of oligomers .,Abeta42,abeta42,gene,associated_with,oligomers,oligomers,gene
414,"Uncaria rhynchophylla is one component of "" Yokukansan "" , a Kampo medicine , which is widely used for treating AD symptoms .",Uncaria rhynchophylla,uncaria rhynchophylla,drug,treatment_for,AD,ad,disease
414,"Uncaria rhynchophylla is one component of "" Yokukansan "" , a Kampo medicine , which is widely used for treating AD symptoms .",Uncaria rhynchophylla,uncaria rhynchophylla,drug,hyponym_of,Kampo medicine,kampo medicine,drug
414,"Uncaria rhynchophylla is one component of "" Yokukansan "" , a Kampo medicine , which is widely used for treating AD symptoms .",Yokukansan,yokukansan,drug,treatment_for,AD,ad,disease
420,Investigation of the interaction of amyloid beta peptide ( 11-42 ) oligomers with a 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine ( POPC ) membrane using molecular dynamics simulation .,POPC,popc,drug,abbreviation_for,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,drug
421,"Some amyloid related proteins / peptides are involved in aggregation and pore formation in phospholipid membranes ( cell membranes ) , which result in a variety of neurological disorders such as Alzheimer's disease , Parkinson's disease and Huntington disease .",Alzheimer's disease,alzheimer's disease,disease,hyponym_of,neurological disorders,neurological disorders,disease
421,"Some amyloid related proteins / peptides are involved in aggregation and pore formation in phospholipid membranes ( cell membranes ) , which result in a variety of neurological disorders such as Alzheimer's disease , Parkinson's disease and Huntington disease .",Parkinson's disease,parkinson's disease,disease,hyponym_of,neurological disorders,neurological disorders,disease
421,"Some amyloid related proteins / peptides are involved in aggregation and pore formation in phospholipid membranes ( cell membranes ) , which result in a variety of neurological disorders such as Alzheimer's disease , Parkinson's disease and Huntington disease .",Huntington disease,huntington disease,disease,hyponym_of,neurological disorders,neurological disorders,disease
422,"In this research , the mechanism of pore formation by beta amyloid ( Abeta ) peptides was investigated using molecular dynamics simulation by simulating the interaction of the Abeta ( 11-42 ) peptide , with a lipid membrane and the potential of the mean force of interaction was evaluated .",Abeta,abeta,gene,abbreviation_for,beta amyloid,beta amyloid,gene
423,A 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine ( POPC ) membrane system with different cholesterol concentrations was used to simulate the neural cell membrane .,POPC,popc,drug,abbreviation_for,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,drug
428,Importance : Posttraumatic stress disorder ( PTSD ) has been associated with increased risk for dementia .,Posttraumatic stress disorder,posttraumatic stress disorder,disease,associated_with,dementia,dementia,disease
428,Importance : Posttraumatic stress disorder ( PTSD ) has been associated with increased risk for dementia .,PTSD,ptsd,disease,abbreviation_for,Posttraumatic stress disorder,posttraumatic stress disorder,disease
429,"Less is known , however , about other stress-related disorders and their associations with neurodegenerative diseases .",stress-related disorders,stress-related disorders,disease,associated_with,neurodegenerative diseases,neurodegenerative diseases,disease
437,"Exposures : Diagnosis of stress-related disorders ( PTSD , acute stress reaction , adjustment disorder , and other stress reactions ) .",PTSD,ptsd,disease,abbreviation_for,stress-related disorders,stress-related disorders,disease
437,"Exposures : Diagnosis of stress-related disorders ( PTSD , acute stress reaction , adjustment disorder , and other stress reactions ) .",acute stress reaction,acute stress reaction,disease,hyponym_of,stress-related disorders,stress-related disorders,disease
437,"Exposures : Diagnosis of stress-related disorders ( PTSD , acute stress reaction , adjustment disorder , and other stress reactions ) .",adjustment disorder,adjustment disorder,disease,hyponym_of,stress-related disorders,stress-related disorders,disease
449,Conclusions and Relevance : This study showed an association between stress-related disorders and an increased risk of neurodegenerative diseases .,stress-related disorders,stress-related disorders,disease,associated_with,neurodegenerative diseases,neurodegenerative diseases,disease
452,"Despite aging being by far the greatest risk factor for highly prevalent neurodegenerative disorders , the molecular underpinnings of age-related brain changes are still not well understood , particularly the transition from normal healthy brain aging to neuropathological aging .",aging,aging,other,risk_factor_of,neurodegenerative disorders,neurodegenerative disorders,disease
452,"Despite aging being by far the greatest risk factor for highly prevalent neurodegenerative disorders , the molecular underpinnings of age-related brain changes are still not well understood , particularly the transition from normal healthy brain aging to neuropathological aging .",aging,aging,other,risk_factor_of,neuropathological aging,neuropathological aging,disease
455,"One of the most striking morphologic changes in neurons during normal aging is the accumulation of lipofuscin ( LF ) aggregates , as well as , neuromelanin pigments .",LF,lf,drug,abbreviation_for,lipofuscin,lipofuscin,drug
457,"Within the Central Nervous System ( CNS ) , LF accumulates as aggregates , delineating a specific senescence pattern in both physiological and pathological states , altering neuronal cytoskeleton and cellular trafficking and metabolism , and being associated with neuronal loss , and glial proliferation and activation .",CNS,cns,other,abbreviation_for,Central Nervous System,central nervous system,other
460,We argue that LF is a relevant effector of aging that represents a risk factor or driver for neurodegenerative disorders .,LF,lf,other,risk_factor_of,neurodegenerative disorders,neurodegenerative disorders,disease
462,"OBJECTIVE : We aimed to find the optimal cut-off scores for screening of odor detection threshold , odor discrimination , and odor identification tests for detection of mild cognitive impairment ( MCI ) and dementia in Korean elderly .",MCI,mci,disease,abbreviation_for,mild cognitive impairment,mild cognitive impairment,disease
463,"METHODS : A total of 195 elderly people were divided into three groups : the normal cognition ( NC ) , MCI , and dementia groups .",NC,nc,other,abbreviation_for,normal cognition,normal cognition,other
465,We used k-means cluster analysis and receiver operating characteristic ( ROC ) analysis to identify the most appropriate cut-off value .,ROC,roc,method,abbreviation_for,receiver operating characteristic,receiver operating characteristic,method
469,CONCLUSION : Olfactory function tests may be a useful screening tool for cognitive decline before clinical symptoms of dementia have completely developed .,Olfactory function tests,olfactory function tests,method,help_diagnose,cognitive decline,cognitive decline,disease
472,"Despite growing evidence for the characteristic signs of Alzheimer's disease ( AD ) in the neurosensory retina , our understanding of retina-brain relationships , especially at advanced disease stages and in response to therapy , is lacking .",AD,ad,disease,abbreviation_for,Alzheimer's disease,alzheimer's disease,disease
473,"In transgenic models of AD ( APPSWE / PS1 E9 ; ADtg mice ) , glatiramer acetate ( GA ) immunomodulation alleviates disease progression in pre - and early-symptomatic disease stages .",GA,ga,drug,abbreviation_for,glatiramer acetate,glatiramer acetate,drug
476,"Levels of synaptotoxic amyloid beta-protein ( Abeta ) 1-42 , angiopathic Abeta1-40 , non-amyloidogenic Abeta1-38 , and Abeta42 / Abeta40 ratios tightly correlated between paired retinas derived from oculus sinister ( OS ) and oculus dexter ( OD ) eyes , and between left and right posterior brain hemispheres .",Abeta,abeta,gene,abbreviation_for,amyloid beta-protein,amyloid beta-protein,gene
476,"Levels of synaptotoxic amyloid beta-protein ( Abeta ) 1-42 , angiopathic Abeta1-40 , non-amyloidogenic Abeta1-38 , and Abeta42 / Abeta40 ratios tightly correlated between paired retinas derived from oculus sinister ( OS ) and oculus dexter ( OD ) eyes , and between left and right posterior brain hemispheres .",OD,od,disease,abbreviation_for,oculus dexter,oculus dexter,disease
484,Amyloid imaging is limited by an inconsistent relationship between cerebral cortex amyloid - beta ( Abeta ) plaques and dementia .,Abeta,abeta,gene,abbreviation_for,- beta,- beta,gene
484,Amyloid imaging is limited by an inconsistent relationship between cerebral cortex amyloid - beta ( Abeta ) plaques and dementia .,Abeta,abeta,gene,abbreviation_for,amyloid - beta,amyloid - beta,gene
494,Amyloid imaging of the cerebral cortex and striatum together may allow for a more accurate clinicopathological diagnosis of AD and enable pathology-based clinical staging of AD .,Amyloid imaging,amyloid imaging,method,help_diagnose,AD,ad,disease
494,Amyloid imaging of the cerebral cortex and striatum together may allow for a more accurate clinicopathological diagnosis of AD and enable pathology-based clinical staging of AD .,Amyloid imaging,amyloid imaging,method,help_diagnose,AD,ad,disease
496,"OBJECTIVE : To characterize the nature and prevalence of cognitive disorders in older adults with temporal lobe epilepsy ( TLE ) and compare their cognitive profiles to patients with amnestic mild cognitive impairment ( ie , aMCI ) .",TLE,tle,disease,abbreviation_for,temporal lobe epilepsy,temporal lobe epilepsy,disease
496,"OBJECTIVE : To characterize the nature and prevalence of cognitive disorders in older adults with temporal lobe epilepsy ( TLE ) and compare their cognitive profiles to patients with amnestic mild cognitive impairment ( ie , aMCI ) .",aMCI,amci,disease,abbreviation_for,cognitive impairment,cognitive impairment,disease
496,"OBJECTIVE : To characterize the nature and prevalence of cognitive disorders in older adults with temporal lobe epilepsy ( TLE ) and compare their cognitive profiles to patients with amnestic mild cognitive impairment ( ie , aMCI ) .",aMCI,amci,disease,hyponym_of,cognitive impairment,cognitive impairment,disease
498,An actuarial neuropsychological method designed to diagnose MCI was applied to individual patients to identify older adults with TLE who met diagnostic criteria for MCI ( TLE-MCI ) .,actuarial neuropsychological method,actuarial neuropsychological method,method,help_diagnose,MCI,mci,disease
498,An actuarial neuropsychological method designed to diagnose MCI was applied to individual patients to identify older adults with TLE who met diagnostic criteria for MCI ( TLE-MCI ) .,actuarial neuropsychological method,actuarial neuropsychological method,method,help_diagnose,TLE,tle,disease
506,SIGNIFICANCE : Cognitive impairment is a common comorbidity in epilepsy and it presents in a substantial number of older adults with TLE .,Cognitive impairment,cognitive impairment,disease,characteristic_of,epilepsy,epilepsy,disease
509,Amyloid beta ( Abeta ) peptides are considered to be strongly related to Alzheimer's disease .,Amyloid beta,amyloid beta,gene,associated_with,Alzheimer's disease,alzheimer's disease,disease
509,Amyloid beta ( Abeta ) peptides are considered to be strongly related to Alzheimer's disease .,Abeta,abeta,gene,abbreviation_for,Amyloid beta,amyloid beta,gene
512,"To evaluate the influence of the lipid membrane condition for Abeta aggregation , the adsorption forms of Abeta ( 1-40 ) on mixture membranes of lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine ( DMPC ) and cholesterol beta-d-glucoside ( beta-CG ) were investigated by time-of-flight secondary ion mass spectrometry .",DMPC,dmpc,drug,abbreviation_for,"lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine","lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine",drug
512,"To evaluate the influence of the lipid membrane condition for Abeta aggregation , the adsorption forms of Abeta ( 1-40 ) on mixture membranes of lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine ( DMPC ) and cholesterol beta-d-glucoside ( beta-CG ) were investigated by time-of-flight secondary ion mass spectrometry .",beta-d-glucoside,beta-d-glucoside,drug,hyponym_of,cholesterol,cholesterol,drug
512,"To evaluate the influence of the lipid membrane condition for Abeta aggregation , the adsorption forms of Abeta ( 1-40 ) on mixture membranes of lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine ( DMPC ) and cholesterol beta-d-glucoside ( beta-CG ) were investigated by time-of-flight secondary ion mass spectrometry .",beta-CG,beta-cg,drug,abbreviation_for,beta-d-glucoside,beta-d-glucoside,drug
512,"To evaluate the influence of the lipid membrane condition for Abeta aggregation , the adsorption forms of Abeta ( 1-40 ) on mixture membranes of lipid 1 , 2-dimyristoyl-sn-glycero-3-phosphocholine ( DMPC ) and cholesterol beta-d-glucoside ( beta-CG ) were investigated by time-of-flight secondary ion mass spectrometry .",beta-CG,beta-cg,drug,abbreviation_for,cholesterol beta-d-glucoside,cholesterol beta-d-glucoside,drug
517,Childhood Stress and Adversity is Associated with Late-Life Dementia in Aboriginal Australians .,Adversity,adversity,other,associated_with,Late-Life Dementia,late-life dementia,disease
523,"MEASUREMENTS : Participants completed a life course survey of health , well-being , cognition , and social history including the Childhood Trauma Questionnaire ( CTQ ) , with consensus diagnosis of dementia and Alzheimer disease .",Childhood Trauma Questionnaire,childhood trauma questionnaire,method,help_diagnose,Alzheimer disease,alzheimer disease,disease
523,"MEASUREMENTS : Participants completed a life course survey of health , well-being , cognition , and social history including the Childhood Trauma Questionnaire ( CTQ ) , with consensus diagnosis of dementia and Alzheimer disease .",CTQ,ctq,method,abbreviation_for,Childhood Trauma Questionnaire,childhood trauma questionnaire,method
528,CONCLUSIONS : Childhood stress appears to have a significant impact on emotional health and dementia for older Aboriginal Australians .,Childhood stress,childhood stress,other,associated_with,dementia,dementia,disease
528,CONCLUSIONS : Childhood stress appears to have a significant impact on emotional health and dementia for older Aboriginal Australians .,Childhood stress,childhood stress,other,associated_with,emotional health,emotional health,other
